seed,model,val_auprc,val_best_thr,val_f1,test_auprc,test_precision,test_recall,test_f1
1,baseline,0.13132369732814875,0.48088538646698,0.21761658002738332,0.062200783187301247,0.06042296072498426,0.36363636363305785,0.1036269427605439
1,degree,0.15698356305326422,0.6826494336128235,0.23293172642860596,0.08878370850969054,0.09954751131176676,0.1999999999981818,0.13293051315059187
42,baseline,0.14764509025739478,0.5073819160461426,0.19485791580767634,0.12982354761440126,0.09796437659020615,0.6874999999938616,0.1714922046810631
42,degree,0.1486276368679826,0.6291430592536926,0.2211981562569496,0.15725814063224208,0.14325842696588972,0.45535714285307716,0.2179487175836986
123,baseline,0.09963404589998273,0.6094668507575989,0.184027777426366,0.0721193769019031,0.05820105820095556,0.37078651684976643,0.10060975586272587
123,degree,0.11874863905956809,0.6016425490379333,0.21568627421018213,0.09635341651805421,0.06465517241370021,0.5056179775224088,0.11464968132732686
