metric,baseline_mean,gcn_mean
P@5,0.152755905511811,0.10866141732283464
P@10,0.14645669291338587,0.10393700787401576
P@20,0.12007874015748032,0.08818897637795277
P@L20,0.12791577709783708,0.0932310159704029
