K,prec,rec,model
5,0.15275590548125986,0.10517282809464677,baseline
10,0.13543307085259843,0.17644036523822157,baseline
20,0.11732283463980314,0.2969569514250561,baseline
5,0.18110236216850392,0.11837204286780782,feat_v1
10,0.16141732281850393,0.20468165092720908,feat_v1
20,0.12834645668649608,0.31587503047332405,feat_v1
