seed,n_graphs,test_auprc,val_thr_maxf1,val_thr_p20,p20_fallback,val_thr_p15,p15_fallback,test_P_maxF1,test_R_maxF1,test_F1_maxF1,test_P_p20,test_R_p20,test_F1_p20,test_P_p15,test_R_p15,test_F1_p15
1,837,0.1218440150243216,0.7550996541976929,0.8239838480949402,False,0.7385751605033875,False,0.13697513249077173,0.32748538011663986,0.19315895330634483,0.1814671814670063,0.18323586744621517,0.18234723519333634,0.1250430589045384,0.35380116959029845,0.18477984181305157
7,837,0.10380086711664697,0.8672207593917847,0.9286640286445618,False,0.8637502193450928,False,0.14070612668736204,0.2573599240263463,0.1819402479483226,0.2025586353940244,0.09021842355167121,0.12483574201760342,0.1385601577908587,0.2668566001896801,0.1824083085405412
42,837,0.11295476133157167,0.7443286180496216,0.8005548715591431,False,0.7190981507301331,False,0.14307304785886998,0.27333974975912095,0.1878306873794951,0.18190854870757267,0.17613089509126456,0.1789731046344295,0.13099041533541095,0.3156881616936326,0.18515382402794583
123,837,0.13297683549841843,0.8078257441520691,0.8745280504226685,False,0.7937033772468567,False,0.14915870850379756,0.30856067732802583,0.2011036169731469,0.2067757009343379,0.16650987770445297,0.18447107819244163,0.14027504911585845,0.33584195672593053,0.19789356942903905
999,837,0.1427617366159255,0.735525906085968,0.8261289000511169,False,0.7668876051902771,False,0.16567754698310302,0.293602103417797,0.2118242170536738,0.260674157302785,0.10166520595959538,0.14627994915474382,0.18498862774815392,0.21384750219087306,0.19837398324229394
