seed,n_graphs,test_auprc,val_thr_maxf1,val_thr_p20,p20_fallback,val_thr_p15,p15_fallback,test_P_maxF1,test_R_maxF1,test_F1_maxF1,test_P_p20,test_R_p20,test_F1_p20,test_P_p15,test_R_p15,test_F1_p15
1,837,0.084098564082318,0.7227298021316528,0.8195961117744446,False,0.7171844840049744,False,0.1141975308641388,0.21637426900563705,0.14949494904261743,0.14090909090877066,0.06042884990247522,0.08458390135330894,0.11202317720902365,0.22612085769958468,0.1498224083395234
7,837,0.08342131003743014,0.7104539275169373,0.8955047726631165,False,0.830942690372467,False,0.09584295612006472,0.31528964862268255,0.14700022102826107,0.1868131868111339,0.01614434947766748,0.02972027957379181,0.1609403254969965,0.08452041785367093,0.11083437065666966
42,837,0.08894383640201414,0.7814603447914124,0.8413174748420715,False,0.7754526734352112,False,0.12309728656510716,0.17901828681407217,0.1458823524581927,0.15841584158384472,0.07699711260820308,0.10362694256485493,0.12135922330089724,0.19249278152050772,0.14886490462419658
123,837,0.10294459854265126,0.7421477437019348,0.8074946403503418,False,0.7542468309402466,False,0.12795969773293303,0.2389463781747517,0.16666666621230844,0.18208516886904247,0.11665098777035122,0.14220183438621078,0.13827893175065978,0.21919096895557932,0.16957787434354243
999,837,0.09839249887738752,0.7373477220535278,,True,0.8755603432655334,False,0.12303459119492019,0.27432077125304616,0.1698778828831056,,,,0.18274111675034144,0.03155127081504684,0.053811658941631424
