seed,n_graphs,val_thr_maxf1,val_thr_p20,p20_fallback_to_f1,test_auprc,test_P_maxF1,test_R_maxF1,test_F1_maxF1,test_P_p20,test_R_p20,test_F1_p20,val_thr_p15,p20_fallback,p15_fallback,test_P_p15,test_R_p15,test_F1_p15
1,50,0.5427545309066772,0.7432588934898376,False,0.0728354885467375,0.0892388451441227,0.3090909090880991,0.1384928713421796,0.0689655172401902,0.0363636363633057,0.0476190471663832,,,,,,
42,50,0.4486184120178222,0.7676810026168823,False,0.1582419619780911,0.102941176470462,0.7499999999933036,0.1810344825459832,0.2571428571355102,0.0803571428564253,0.1224489792273589,,,,,,
123,50,0.6411672830581665,0.8339226245880127,False,0.1086843579858942,0.0677655677654436,0.4157303370739805,0.1165354328294723,0.2777777777623457,0.0561797752802676,0.0934579436436369,,,,,,
1,200,0.6569006443023682,0.741166353225708,,0.094439711040325,0.0922787193973055,0.3878627968327497,0.1490872207846766,0.1299559471362776,0.1556728232185866,0.1416566621687791,0.6786406636238098,False,False,0.0956175298804019,0.3166226912920405,0.1468788246129262
42,200,0.6482371091842651,0.7343630194664001,,0.1148897400874709,0.1109652002625666,0.3300781249993553,0.1660933657166109,0.1428571428569135,0.1738281249996605,0.1568281933371049,0.6465000510215759,False,False,0.1108230719377117,0.3339843749993477,0.1664233572899246
123,200,0.4798066914081573,0.724260687828064,,0.1784115857702678,0.126022913256887,0.4695121951209969,0.1987096770855181,0.3666666666625925,0.0670731707315709,0.1134020615938285,0.6443753838539124,False,False,0.2621082621075153,0.1869918699183191,0.2182680896676812
