seed,n_graphs,val_thr_maxf1,val_thr_p20,p20_fallback_to_f1,test_auprc,test_P_maxF1,test_R_maxF1,test_F1_maxF1,test_P_p20,test_R_p20,test_F1_p20
1,50,0.5427545309066772,0.7432588934898376,False,0.07283548854673752,0.08923884514412274,0.30909090908809916,0.1384928713421796,0.06896551724019026,0.036363636363305786,0.04761904716638324
42,50,0.44861841201782227,0.7676810026168823,False,0.15824196197809112,0.10294117647046208,0.7499999999933036,0.1810344825459832,0.2571428571355102,0.08035714285642538,0.12244897922735896
123,50,0.6411672830581665,0.8339226245880127,False,0.10868435798589425,0.06776556776544365,0.41573033707398055,0.11653543282947239,0.2777777777623457,0.056179775280267644,0.09345794364363699
