seed,n_graphs,test_auprc,val_thr_maxf1,val_thr_p20,p20_fallback,val_thr_p15,p15_fallback,test_P_maxF1,test_R_maxF1,test_F1_maxF1,test_P_p20,test_R_p20,test_F1_p20,test_P_p15,test_R_p15,test_F1_p15
1,837,0.08899015482562347,0.8405232429504395,0.879913330078125,False,0.8280707001686096,False,0.1301492537312656,0.212475633528058,0.16142169519701904,0.1508515815083323,0.12085769980495044,0.13419913370508188,0.12357884330196561,0.24366471734869039,0.16398819240346926
7,837,0.08550014954594053,0.7716171145439148,0.9124754071235657,False,0.8116225004196167,False,0.11764705882347659,0.24881291547934586,0.159756097124934,0.1760563380269292,0.02374169040833453,0.041841003974613884,0.13458646616531234,0.1699905033236752,0.15023080101733058
42,837,0.09678409142144576,0.7406696081161499,0.8128835558891296,False,0.7583479285240173,False,0.11777679752972309,0.25697786332987776,0.16152450047632932,0.16142270861811023,0.11357074109709955,0.13333333284832263,0.12939208031225355,0.22329162656378895,0.16384180744493146
123,837,0.11113186992417624,0.6818490624427795,0.7715818881988525,False,0.6940075159072876,False,0.13113207547163627,0.26152398871094873,0.17467797630652002,0.20029455080971975,0.12793979303844974,0.15614236462170578,0.1359325605900232,0.24270931326411788,0.17426545040083966
999,837,0.10233846835643842,0.73520427942276,0.73520427942276,True,0.8870702385902405,False,0.11401977894121175,0.3435582822082879,0.17121642242548346,0.11401977894121175,0.3435582822082879,0.17121642242548346,0.2077294685980303,0.037686240140194845,0.06379821932451528
