seed,n_graphs,val_thr_maxf1,val_thr_p20,val_thr_p15,p20_fallback,p15_fallback,test_auprc,test_P_maxF1,test_R_maxF1,test_F1_maxF1,test_P_p20,test_R_p20,test_F1_p20,test_P_p15,test_R_p15,test_F1_p15
1,200,0.6569006443023682,0.741166353225708,0.6786406636238098,False,False,0.09443971104032509,0.09227871939730554,0.3878627968327497,0.14908722078467665,0.12995594713627764,0.1556728232185866,0.14165666216877917,0.0956175298804019,0.31662269129204057,0.1468788246129262
42,200,0.6482371091842651,0.7343630194664001,0.6465000510215759,False,False,0.11488974008747099,0.11096520026256666,0.33007812499935535,0.1660933657166109,0.14285714285691356,0.1738281249996605,0.15682819333710496,0.11082307193771172,0.3339843749993477,0.16642335728992463
123,200,0.47980669140815735,0.724260687828064,0.6443753838539124,False,False,0.17841158577026783,0.12602291325688705,0.46951219512099696,0.19870967708551815,0.36666666666259257,0.06707317073157099,0.11340206159382858,0.26210826210751537,0.18699186991831912,0.21826808966768124
